,country,cdn,values
954,AE,akamai,280.533425
955,AE,akamai,280.880185
956,AE,akamai,280.390045
957,AE,akamai,276.005585
958,AE,akamai,275.80059
959,AE,akamai,275.90759
960,AE,akamai,280.89726
961,AE,akamai,280.85974
962,AE,akamai,280.834105
963,AE,akamai,276.788585
964,AE,akamai,276.400015
965,AE,akamai,276.460945
966,AE,akamai,257.533735
967,AE,akamai,280.237175
968,AE,akamai,257.580425
969,AE,akamai,276.674815
970,AE,akamai,276.543375
971,AE,akamai,276.437075
972,AE,akamai,275.864265
973,AE,akamai,275.61369
974,AE,akamai,275.49066
975,AE,akamai,285.449605
976,AE,akamai,257.48573
977,AE,akamai,280.125645
978,AE,akamai,275.81959
979,AE,akamai,275.58241
980,AE,akamai,275.637275
981,AE,akamai,280.48405
982,AE,akamai,280.073395
983,AE,akamai,280.034035
984,AE,akamai,278.089855
985,AE,akamai,278.20389
986,AE,akamai,257.597765
987,AE,akamai,281.229535
988,AE,akamai,280.90966
989,AE,akamai,280.914435
990,AE,akamai,274.973025
991,AE,akamai,274.86453
992,AE,akamai,274.82102
993,AE,akamai,257.70331
994,AE,akamai,268.637375
995,AE,akamai,257.475895
